New Acc. No.,Old Acc. Number,Acc.Name,Meter No.,Phone No.,Zone,Sub-Zone,Longitude,Latitude,Walkroute,Water,Sewer,Connection Status,Tarriff,Building Type,House Type,Hse. Units
6944,2100206944,,,,GITAMBAYA,GITAMBAYA,271884.4906,9872028.253,Unknown,,,,,,,
15184,2100215184,,,,GITAMBAYA,GITAMBAYA,271945.134,9872195.895,Unknown,,,,,,,
20474,2100220474,,,,GITAMBAYA,GITAMBAYA,271970.2931,9872247.62,Unknown,,,,,,,
211,2100200211,,,,GITAMBAYA,GITAMBAYA,272019.6756,9872310.514,Unknown,,,,,,,
6259,2100206259,,,,GITAMBAYA,GITAMBAYA,272155.1842,9872479.113,Unknown,,,,,,,
220,2100200220,,,,GITAMBAYA,GITAMBAYA,272313.6562,9872553.514,Unknown,,,,,,,
256,2100200256,,,,GITAMBAYA,GITAMBAYA,272099.6143,9872531.553,Unknown,,,,,,,
221,2100200221,,,,GITAMBAYA,GITAMBAYA,272155.0979,9872495.887,Unknown,,,,,,,
179,2100200179,,,,GITAMBAYA,GITAMBAYA,272090.5933,9872433.609,Unknown,,,,,,,
1024,2100201024,,,,GITAMBAYA,GITAMBAYA,272061.8718,9872459.119,Unknown,,,,,,,
6468,2100206468,,,,GITAMBAYA,GITAMBAYA,272046.338,9872464.785,Unknown,,,,,,,
909,2100200909,,,,GITAMBAYA,GITAMBAYA,272038.1641,9872478.863,Unknown,,,,,,,
188,2100200188,,,,GITAMBAYA,GITAMBAYA,272050.1375,9872496.31,Unknown,,,,,,,
6493,2100206493,,,,GITAMBAYA,GITAMBAYA,272010.0735,9872504.336,Unknown,,,,,,,
19954,2100219954,,,,GITAMBAYA,GITAMBAYA,271978.8353,9872417.491,Unknown,,,,,,,
178,2100200178,,,,GITAMBAYA,GITAMBAYA,271988.7233,9872419.342,Unknown,,,,,,,
19963,2100219963,,,,GITAMBAYA,GITAMBAYA,272006.2325,9872401.714,Unknown,,,,,,,
19925,2100219925,,,,GITAMBAYA,GITAMBAYA,272031.3581,9872396.847,Unknown,,,,,,,
830,2100200830,,,,GITAMBAYA,GITAMBAYA,272033.783,9872379.134,Unknown,,,,,,,
15444,2100215444,,,,GITAMBAYA,GITAMBAYA,272038.7305,9872388.041,Unknown,,,,,,,
7987,2100207987,,,,GITAMBAYA,GITAMBAYA,272055.3069,9872377.324,Unknown,,,,,,,
17472,2100217472,,,,GITAMBAYA,GITAMBAYA,272015.7951,9872314.308,Unknown,,,,,,,
7798,2100207798,,,,GITAMBAYA,GITAMBAYA,271979.5134,9872326.227,Unknown,,,,,,,
7786,2100207786,,,,GITAMBAYA,GITAMBAYA,271981.8065,9872336.847,Unknown,,,,,,,
22218,2100222218,,,,GITAMBAYA,GITAMBAYA,271968.2791,9872338.846,Unknown,,,,,,,
16261,2100216261,,,,GITAMBAYA,GITAMBAYA,271958.7107,9872357.015,Unknown,,,,,,,
20190,2100220190,,,,GITAMBAYA,GITAMBAYA,271938.9116,9872359.71,Unknown,,,,,,,
9116,2100209116,,,,GITAMBAYA,GITAMBAYA,271927.6244,9872368.403,Unknown,,,,,,,
9378,2100209378,,,,GITAMBAYA,GITAMBAYA,271883.4944,9872328.739,Unknown,,,,,,,
12057,2100212057,,,,GITAMBAYA,GITAMBAYA,271924.9572,9872284.823,Unknown,,,,,,,
9118,2100209118,,,,GITAMBAYA,GITAMBAYA,271955.03,9872263.812,Unknown,,,,,,,
12715,2100212715,,,,GITAMBAYA,GITAMBAYA,271952.8092,9872255.865,Unknown,,,,,,,
833,2100200833,,,,GITAMBAYA,GITAMBAYA,271896.6095,9872203.897,Unknown,,,,,,,
7790,2100207790,,,,GITAMBAYA,GITAMBAYA,271892.2679,9872203.783,Unknown,,,,,,,
6844,2100206844,,,,GITAMBAYA,GITAMBAYA,271884.0268,9872208.072,Unknown,,,,,,,
11911,2100211911,,,,GITAMBAYA,GITAMBAYA,271883.1265,9872221.547,Unknown,,,,,,,
7594,2100207594,,,,GITAMBAYA,GITAMBAYA,271861.432,9872228.186,Unknown,,,,,,,
9092,2100209092,,,,GITAMBAYA,GITAMBAYA,271860.0165,9872235.632,Unknown,,,,,,,
969,2100200969,,,,GITAMBAYA,GITAMBAYA,271815.3376,9872236.669,Unknown,,,,,,,
9096,2100209096,,,,GITAMBAYA,GITAMBAYA,271819.2532,9872235.75,Unknown,,,,,,,
14445,2100214445,,,,GITAMBAYA,GITAMBAYA,271798.0413,9872190.83,Unknown,,,,,,,
1077,2100201077,,,,GITAMBAYA,GITAMBAYA,271811.2366,9872186.102,Unknown,,,,,,,
7998,2100207998,,,,GITAMBAYA,GITAMBAYA,271837.1063,9872153.069,Unknown,,,,,,,
21888,2100221888,,,,GITAMBAYA,GITAMBAYA,271845.9334,9872159.454,Unknown,,,,,,,
19137,2100219137,,,,GITAMBAYA,GITAMBAYA,271850.1546,9872146.406,Unknown,,,,,,,
7071,2100207071,,,,GITAMBAYA,GITAMBAYA,271863.3905,9872136.812,Unknown,,,,,,,
23270,2100223270,,,,GITAMBAYA,GITAMBAYA,271865.3469,9872125.532,Unknown,,,,,,,
6183,2100206183,,,,GITAMBAYA,GITAMBAYA,271815.9936,9872073.476,Unknown,,,,,,,
20188,2100220188,,,,GITAMBAYA,GITAMBAYA,271809.5813,9872088.993,Unknown,,,,,,,
10537,2100210537,,,,GITAMBAYA,GITAMBAYA,271786.0748,9872112.589,Unknown,,,,,,,
7215,2100207215,,,,GITAMBAYA,GITAMBAYA,271775.3754,9872103.844,Unknown,,,,,,,
