Acc Number,New Acc No,Old Acc No,Meter No,Acc Name,Subzone,Tariff,Connection Status
31074-2100231074,,,19029223,,GITAMBAYA,Commercial,
07545-2100207545,,,AWSB 1509132,,GITAMBAYA,Domestic,
07585-2100207585,,,H17JA013228,,GITAMBAYA,Domestic,
07590-2100207590,,,150327118,,GITAMBAYA,Domestic,
07591-2100207591,,,1303111,,GITAMBAYA,Domestic,
07592-2100207592,,,1303406,,GITAMBAYA,Domestic,
07593-2100207593,,,1303111,,GITAMBAYA,Commercial,
07594-2100207594,,,H17JA014600,,GITAMBAYA,Commercial,
07595-2100207595,,,1303567,,GITAMBAYA,Domestic,
07596-2100207596,,,1303607,,GITAMBAYA,Domestic,
07601-2100207601,,,1303239,,GITAMBAYA,Domestic,
12280-2100212280,,,1303240,,GITAMBAYA,Domestic,
06751-2100206751,,,H17JA014412,,GITAMBAYA,Commercial,
06753-2100206753,,,150294518,,GITAMBAYA,Commercial,
06758-2100206758,,,H18JA007436,,GITAMBAYA,Domestic,
06760-2100206760,,,H17JA013238,,GITAMBAYA,Commercial,
06761-2100206761,,,H17JA014100,,GITAMBAYA,Commercial,
06763-2100206763,,,1304845,,GITAMBAYA,Commercial,
06764-2100206764,,,1304783,,GITAMBAYA,Domestic,
06765-2100206765,,,1304784,,GITAMBAYA,Commercial,
06766-2100206766,,,1305077,,GITAMBAYA,Domestic,
06767-2100206767,,,H18JA007042,,GITAMBAYA,Commercial,
08280-2100208280,,,H19JA003506,,GITAMBAYA,Commercial,
10574-2100210574,,,14144715,,GITAMBAYA,Commercial,
08479-2100208479,,,H17JA013925,,GITAMBAYA,Commercial,
08480-2100208480,,,13060044,,GITAMBAYA,Commercial,
30382-2100230382,,,19014159,,GITAMBAYA,Domestic,
30383-2100230383,,,19014162,,GITAMBAYA,Domestic,
30380-2100230380,,,19030383,,GITAMBAYA,Commercial,
30381-2100230381,,,19014160,,GITAMBAYA,Domestic,
06743-2100206743,,,HN06113276,,GITAMBAYA,Commercial,
06744-2100206744,,,1301687,,GITAMBAYA,Domestic,
08282-2100208282,,,1305194,,GITAMBAYA,Commercial,
08285-2100208285,,,H17JA014690,,GITAMBAYA,Commercial,
08287-2100208287,,,H17JA014553,,GITAMBAYA,Commercial,
08289-2100208289,,,1305167,,GITAMBAYA,Domestic,
08290-2100208290,,,H17JA010786,,GITAMBAYA,Commercial,
08291-2100208291,,,1305165,,GITAMBAYA,Commercial,
08008-2100208008,,,H18JA008429,,GITAMBAYA,Domestic,
08001-2100208001,,,1305292,,GITAMBAYA,Commercial,
08002-2100208002,,,1305293,,GITAMBAYA,Commercial,
08003-2100208003,,,H17JA010325,,GITAMBAYA,Domestic,
08004-2100208004,,,19014687,,GITAMBAYA,Domestic,
08005-2100208005,,,1304896,,GITAMBAYA,Commercial,
07988-2100207988,,,17179029,,GITAMBAYA,Commercial,
07990-2100207990,,,17179030,,GITAMBAYA,Domestic,
07991-2100207991,,,1303610,,GITAMBAYA,Commercial,
07992-2100207992,,,1302970,,GITAMBAYA,Domestic,
07993-2100207993,,,1305262,,GITAMBAYA,Domestic,
07997-2100207997,,,H17JA013224,,GITAMBAYA,Commercial,
07998-2100207998,,,1304986,,GITAMBAYA,Domestic,
08010-2100208010,,,H17JA014094,,GITAMBAYA,Commercial,
08012-2100208012,,,H17JA014415,,GITAMBAYA,Domestic,
08013-2100208013,,,1304855,,GITAMBAYA,Commercial,
08014-2100208014,,,H17JA013116,,GITAMBAYA,Domestic,
08017-2100208017,,,16042494,,GITAMBAYA,Domestic,
08018-2100208018,,,1305156,,GITAMBAYA,Domestic,
08019-2100208019,,,1305153,,GITAMBAYA,Domestic,
08020-2100208020,,,1305107,,GITAMBAYA,Domestic,
08022-2100208022,,,1305083,,GITAMBAYA,Commercial,
08023-2100208023,,,1305084,,GITAMBAYA,Domestic,
08024-2100208024,,,1305085,,GITAMBAYA,Commercial,
08026-2100208026,,,1304763,,GITAMBAYA,Commercial,
08028-2100208028,,,H17JA014420,,GITAMBAYA,Domestic,
08029-2100208029,,,1304817,,GITAMBAYA,Commercial,
08030-2100208030,,,H17JA014675,,GITAMBAYA,Commercial,
08032-2100208032,,,H17JA013114,,GITAMBAYA,Commercial,
08057-2100208057,,,14129615,,GITAMBAYA,Commercial,
08059-2100208059,,,,,GITAMBAYA,Commercial,
08039-2100208039,,,99/A095505,,GITAMBAYA,Domestic,
08040-2100208040,,,1353630,,GITAMBAYA,Domestic,
08035-2100208035,,,,,GITAMBAYA,Commercial,
08054-2100208054,,,H17JA014561,,GITAMBAYA,Domestic,
30567-2100230567,,,19039181,,GITAMBAYA,Commercial,
30568-2100230568,,,19039182,,GITAMBAYA,Commercial,
17472-2100217472,,,H17JA013851,,GITAMBAYA,Domestic,
07791-2100207791,,,H18JA008718,,GITAMBAYA,Commercial,
07792-2100207792,,,1303507,,GITAMBAYA,Commercial,
07793-2100207793,,,1303503,,GITAMBAYA,Commercial,
07794-2100207794,,,1303245,,GITAMBAYA,Domestic,
07795-2100207795,,,H18JA007060,,GITAMBAYA,Commercial,
07797-2100207797,,,H18JA007139,,GITAMBAYA,Domestic,
07798-2100207798,,,H17JA014468,,GITAMBAYA,Domestic,
07799-2100207799,,,H17JA014053,,GITAMBAYA,Domestic,
07800-2100207800,,,H18JA007945,,GITAMBAYA,Commercial,
07802-2100207802,,,1305221,,GITAMBAYA,Domestic,
07804-2100207804,,,1304805,,GITAMBAYA,Commercial,
07772-2100207772,,,1303365,,GITAMBAYA,Commercial,
07775-2100207775,,,1302570,,GITAMBAYA,Commercial,
07776-2100207776,,,H18JA008717,,GITAMBAYA,Commercial,
07777-2100207777,,,H18JA007045,,GITAMBAYA,Commercial,
07778-2100207778,,,1303462,,GITAMBAYA,Domestic,
07779-2100207779,,,h17ja014387,,GITAMBAYA,Domestic,
07781-2100207781,,,1303020,,GITAMBAYA,Domestic,
07783-2100207783,,,H17JA010552,,GITAMBAYA,Commercial,
07786-2100207786,,,1303397,,GITAMBAYA,Commercial,
07788-2100207788,,,1303394,,GITAMBAYA,Domestic,
07789-2100207789,,,1302989,,GITAMBAYA,Commercial,
10238-2100210238,,,14002020,,GITAMBAYA,Commercial,
10395-2100210395,,,14189915,,GITAMBAYA,Domestic,
10575-2100210575,,,14144215,,GITAMBAYA,Commercial,
10504-2100210504,,,14199115,,GITAMBAYA,Domestic,
10507-2100210507,,,H17JA013881,,GITAMBAYA,Commercial,
10538-2100210538,,,H17JA013226,,GITAMBAYA,Domestic,
10539-2100210539,,,H17JA013463,,GITAMBAYA,Commercial,
10521-2100210521,,,14209115,,GITAMBAYA,Domestic,
10522-2100210522,,,0,,GITAMBAYA,Commercial,
10556-2100210556,,,14130415,,GITAMBAYA,Domestic,
10557-2100210557,,,14130315,,GITAMBAYA,Commercial,
10585-2100210585,,,14187415,,GITAMBAYA,Commercial,
10517-2100210517,,,H18JA007440,,GITAMBAYA,Commercial,
10577-2100210577,,,H17JA013971,,GITAMBAYA,Commercial,
10586-2100210586,,,H17JA010421,,GITAMBAYA,Commercial,
10589-2100210589,,,14553515,,GITAMBAYA,Commercial,
10590-2100210590,,,14544815,,GITAMBAYA,Commercial,
10591-2100210591,,,14555615,,GITAMBAYA,Commercial,
10603-2100210603,,,14534715,,GITAMBAYA,Commercial,
10605-2100210605,,,H18JA016998,,GITAMBAYA,Domestic,
10606-2100210606,,,14425315,,GITAMBAYA,Domestic,
10607-2100210607,,,14425715,,GITAMBAYA,Domestic,
10608-2100210608,,,14417215,,GITAMBAYA,Commercial,
10609-2100210609,,,14538315,,GITAMBAYA,Domestic,
10752-2100210752,,,H17JA014678,,GITAMBAYA,Commercial,
10757-2100210757,,,14647815,,GITAMBAYA,Domestic,
10758-2100210758,,,14651115,,GITAMBAYA,Domestic,
10066-2100210066,,,H17JA013007,,GITAMBAYA,Commercial,
10067-2100210067,,,14125515,,GITAMBAYA,Domestic,
10068-2100210068,,,H18JA008900,,GITAMBAYA,Commercial,
10069-2100210069,,,14125715,,GITAMBAYA,Commercial,
10072-2100210072,,,14232815,,GITAMBAYA,Domestic,
10073-2100210073,,,H17JA010360,,GITAMBAYA,Commercial,
10074-2100210074,,,14232915,,GITAMBAYA,Domestic,
10075-2100210075,,,14232215,,GITAMBAYA,Domestic,
10079-2100210079,,,14123415,,GITAMBAYA,Commercial,
10080-2100210080,,,14172615,,GITAMBAYA,Domestic,
10081-2100210081,,,14231515,,GITAMBAYA,Domestic,
10082-2100210082,,,14232015,,GITAMBAYA,Domestic,
06841-2100206841,,,H18JA008428,,GITAMBAYA,Domestic,
06842-2100206842,,,h18ja016141,,GITAMBAYA,Commercial,
06844-2100206844,,,14048439,,GITAMBAYA,Commercial,
06845-2100206845,,,H17JA014550,,GITAMBAYA,Commercial,
06847-2100206847,,,H18JA00219,,GITAMBAYA,Commercial,
06848-2100206848,,,14049119,,GITAMBAYA,Domestic,
06849-2100206849,,,H18JA008371,,GITAMBAYA,Commercial,
06850-2100206850,,,H18JA008713,,GITAMBAYA,Commercial,
06851-2100206851,,,14049143,,GITAMBAYA,Commercial,
06852-2100206852,,,14049147,,GITAMBAYA,Commercial,
06854-2100206854,,,14050753,,GITAMBAYA,Commercial,
06858-2100206858,,,H17JA013233,,GITAMBAYA,Domestic,
06860-2100206860,,,14049706,,GITAMBAYA,Domestic,
10241-2100210241,,,14164115,,GITAMBAYA,Domestic,
10243-2100210243,,,14164615,,GITAMBAYA,Domestic,
10245-2100210245,,,14175015,,GITAMBAYA,Commercial,
10246-2100210246,,,H18JA007329,,GITAMBAYA,Commercial,
10247-2100210247,,,14139015,,GITAMBAYA,Commercial,
10249-2100210249,,,14138815,,GITAMBAYA,Commercial,
10255-2100210255,,,14171015,,GITAMBAYA,Domestic,
10257-2100210257,,,14191115,,GITAMBAYA,Domestic,
10258-2100210258,,,14201915,,GITAMBAYA,Domestic,
10259-2100210259,,,14200615,,GITAMBAYA,Domestic,
10261-2100210261,,,14197615,,GITAMBAYA,Domestic,
06879-2100206879,,,14182815,,GITAMBAYA,Domestic,
09421-2100209421,,,19015135,,GITAMBAYA,Domestic,
09423-2100209423,,,1354076,,GITAMBAYA,Commercial,
09425-2100209425,,,1353639,,GITAMBAYA,Domestic,
09426-2100209426,,,155140007,,GITAMBAYA,Commercial,
09427-2100209427,,,155140049,,GITAMBAYA,Domestic,
09429-2100209429,,,H17JA013112,,GITAMBAYA,Commercial,
09431-2100209431,,,H18JA007326,,GITAMBAYA,Commercial,
09432-2100209432,,,155140301,,GITAMBAYA,Commercial,
09437-2100209437,,,H18JA008896,,GITAMBAYA,Commercial,
09439-2100209439,,,210025839,,GITAMBAYA,Commercial,
09442-2100209442,,,H18JA008380,,GITAMBAYA,Commercial,
09444-2100209444,,,210025844,,GITAMBAYA,Commercial,
09445-2100209445,,,210025845,,GITAMBAYA,Commercial,
09447-2100209447,,,155140871,,GITAMBAYA,Commercial,
09449-2100209449,,,H18JA008892,,GITAMBAYA,Commercial,
09451-2100209451,,,155140552,,GITAMBAYA,Commercial,
09452-2100209452,,,1353648,,GITAMBAYA,Domestic,
09096-2100209096,,,210025606,,GITAMBAYA,Domestic,
09097-2100209097,,,H18JA008891,,GITAMBAYA,Commercial,
09099-2100209099,,,1352391,,GITAMBAYA,Commercial,
09102-2100209102,,,1352397,,GITAMBAYA,Commercial,
09104-2100209104,,,1351598,,GITAMBAYA,Domestic,
09105-2100209105,,,1351592,,GITAMBAYA,Domestic,
09107-2100209107,,,1351573,,GITAMBAYA,Commercial,
09108-2100209108,,,1351580,,GITAMBAYA,Commercial,
09109-2100209109,,,1350892,,GITAMBAYA,Commercial,
09110-2100209110,,,1350894,,GITAMBAYA,Commercial,
09111-2100209111,,,H17JA014591,,GITAMBAYA,Commercial,
09114-2100209114,,,1352344,,GITAMBAYA,Commercial,
09117-2100209117,,,1351535,,GITAMBAYA,Commercial,
09118-2100209118,,,H17JA013858,,GITAMBAYA,Commercial,
09120-2100209120,,,1352382,,GITAMBAYA,Commercial,
09121-2100209121,,,H17JA014090,,GITAMBAYA,Commercial,
09122-2100209122,,,1354052,,GITAMBAYA,Domestic,
09411-2100209411,,,1353666,,GITAMBAYA,Domestic,
09412-2100209412,,,1353667,,GITAMBAYA,Domestic,
09413-2100209413,,,1353668,,GITAMBAYA,Commercial,
09414-2100209414,,,1353669,,GITAMBAYA,Commercial,
09415-2100209415,,,1353670,,GITAMBAYA,Domestic,
09416-2100209416,,,1353695,,GITAMBAYA,Commercial,
09418-2100209418,,,H17JA010358,,GITAMBAYA,Domestic,
09419-2100209419,,,1353698,,GITAMBAYA,Domestic,
09488-2100209488,,,14129315,,GITAMBAYA,Domestic,
09350-2100209350,,,14048840,,GITAMBAYA,Domestic,
09351-2100209351,,,1353690,,GITAMBAYA,Domestic,
09352-2100209352,,,14048833,,GITAMBAYA,Commercial,
09353-2100209353,,,14048831,,GITAMBAYA,Commercial,
09355-2100209355,,,14047873,,GITAMBAYA,Commercial,
09358-2100209358,,,14049855,,GITAMBAYA,Domestic,
09359-2100209359,,,14049857,,GITAMBAYA,Domestic,
09360-2100209360,,,H18JA007435,,GITAMBAYA,Commercial,
09362-2100209362,,,H17JA014532,,GITAMBAYA,Commercial,
09363-2100209363,,,14050657,,GITAMBAYA,Commercial,
09364-2100209364,,,14048373,,GITAMBAYA,Domestic,
09367-2100209367,,,14050655,,GITAMBAYA,Commercial,
09368-2100209368,,,14050003,,GITAMBAYA,Domestic,
09369-2100209369,,,H17JA013236,,GITAMBAYA,Domestic,
09370-2100209370,,,14049619,,GITAMBAYA,Commercial,
09372-2100209372,,,14049618,,GITAMBAYA,Domestic,
09373-2100209373,,,H17JA013264,,GITAMBAYA,Commercial,
09374-2100209374,,,14049226,,GITAMBAYA,Commercial,
09375-2100209375,,,14050506,,GITAMBAYA,Commercial,
09376-2100209376,,,14049970,,GITAMBAYA,Domestic,
09377-2100209377,,,14049746,,GITAMBAYA,Domestic,
09378-2100209378,,,14048456,,GITAMBAYA,Commercial,
09379-2100209379,,,14048458,,GITAMBAYA,Domestic,
09380-2100209380,,,H17JA014510,,GITAMBAYA,Domestic,
09381-2100209381,,,H17JA013240,,GITAMBAYA,Commercial,
09383-2100209383,,,150280118,,GITAMBAYA,Commercial,
09387-2100209387,,,14050496,,GITAMBAYA,Domestic,
09388-2100209388,,,14050674,,GITAMBAYA,Commercial,
08680-2100208680,,,H18JA007941,,GITAMBAYA,Domestic,
08681-2100208681,,,H18JA008939,,GITAMBAYA,Commercial,
08684-2100208684,,,LXH080752,,GITAMBAYA,Domestic,
08687-2100208687,,,LXH080603,,GITAMBAYA,Commercial,
08689-2100208689,,,LXH080422,,GITAMBAYA,Commercial,
08690-2100208690,,,19012805,,GITAMBAYA,Commercial,
08692-2100208692,,,H17JA010322,,GITAMBAYA,Commercial,
08695-2100208695,,,H17JA013096,,GITAMBAYA,Commercial,
08696-2100208696,,,LXH13092036,,GITAMBAYA,Commercial,
08697-2100208697,,,17014248,,GITAMBAYA,Commercial,
08700-2100208700,,,FC000392,,GITAMBAYA,Domestic,
08458-2100208458,,,H17JA013239,,GITAMBAYA,Commercial,
08460-2100208460,,,1305422,,GITAMBAYA,Domestic,
08462-2100208462,,,H17JA013247,,GITAMBAYA,Commercial,
08463-2100208463,,,H17JA013314,,GITAMBAYA,Domestic,
08465-2100208465,,,1305428,,GITAMBAYA,Domestic,
08468-2100208468,,,1305273,,GITAMBAYA,Domestic,
08469-2100208469,,,1303219,,GITAMBAYA,Domestic,
08471-2100208471,,,1302928,,GITAMBAYA,Domestic,
08473-2100208473,,,1305433,,GITAMBAYA,Domestic,
08475-2100208475,,,H17JA010429,,GITAMBAYA,Commercial,
08476-2100208476,,,1305420,,GITAMBAYA,Commercial,
08477-2100208477,,,13060179,,GITAMBAYA,Domestic,
08478-2100208478,,,13060057,,GITAMBAYA,Commercial,
08850-2100208850,,,H17JA013467,,GITAMBAYA,Commercial,
08856-2100208856,,,14156715,,GITAMBAYA,Commercial,
08444-2100208444,,,201303930,,GITAMBAYA,Commercial,
08879-2100208879,,,LXH13091928,,GITAMBAYA,Domestic,
08883-2100208883,,,LXH13091947,,GITAMBAYA,Commercial,
08884-2100208884,,,H18JA007370,,GITAMBAYA,Commercial,
08885-2100208885,,,FC000487,,GITAMBAYA,Commercial,
08889-2100208889,,,19029874,,GITAMBAYA,Commercial,
08890-2100208890,,,H18JA008233,,GITAMBAYA,Domestic,
08893-2100208893,,,H18JA007944,,GITAMBAYA,Commercial,
08894-2100208894,,,LXH080455,,GITAMBAYA,Domestic,
08895-2100208895,,,13060116,,GITAMBAYA,Domestic,
08896-2100208896,,,14193215,,GITAMBAYA,Commercial,
08899-2100208899,,,FC000340,,GITAMBAYA,Domestic,
08902-2100208902,,,17135802,,GITAMBAYA,Domestic,
08903-2100208903,,,LXH13091972,,GITAMBAYA,Domestic,
08905-2100208905,,,17105138,,GITAMBAYA,Commercial,
09092-2100209092,,,1303496,,GITAMBAYA,Commercial,
12409-2100212409,,,20150601125,,GITAMBAYA,Domestic,
12307-2100212307,,,20150600158,,GITAMBAYA,Domestic,
12308-2100212308,,,20150601072,,GITAMBAYA,Domestic,
12309-2100212309,,,20150601276,,GITAMBAYA,Domestic,
12310-2100212310,,,2015060088,,GITAMBAYA,Commercial,
12312-2100212312,,,H17JA013315,,GITAMBAYA,Domestic,
12313-2100212313,,,H17JA013989,,GITAMBAYA,Domestic,
12314-2100212314,,,20150600123,,GITAMBAYA,Domestic,
12315-2100212315,,,H17JA014703,,GITAMBAYA,Commercial,
12318-2100212318,,,20150600879,,GITAMBAYA,Domestic,
12319-2100212319,,,20150600121,,GITAMBAYA,Commercial,
12320-2100212320,,,H17JA013111,,GITAMBAYA,Commercial,
12321-2100212321,,,H17JA013326,,GITAMBAYA,Commercial,
12322-2100212322,,,20150601094,,GITAMBAYA,Domestic,
12323-2100212323,,,20150600598,,GITAMBAYA,Domestic,
12324-2100212324,,,20150600687,,GITAMBAYA,Commercial,
12325-2100212325,,,20150600663,,GITAMBAYA,Domestic,
12328-2100212328,,,20150600489,,GITAMBAYA,Domestic,
12329-2100212329,,,20150600500,,GITAMBAYA,Commercial,
12330-2100212330,,,20150600554,,GITAMBAYA,Domestic,
12332-2100212332,,,H18JA014542,,GITAMBAYA,Domestic,
12333-2100212333,,,H18JA007181,,GITAMBAYA,Commercial,
12334-2100212334,,,20150601105,,GITAMBAYA,Commercial,
12336-2100212336,,,20150601139,,GITAMBAYA,Domestic,
12338-2100212338,,,20150600736,,GITAMBAYA,Domestic,
12339-2100212339,,,H18JA007751,,GITAMBAYA,Commercial,
12340-2100212340,,,20150600565,,GITAMBAYA,Commercial,
12341-2100212341,,,H17JA014544,,GITAMBAYA,Domestic,
00236-2100200236,,,H18JA008477,,GITAMBAYA,Commercial,
12046-2100212046,,,18056260,,GITAMBAYA,Domestic,
14815-2100214815,,,20151101631,,GITAMBAYA,Domestic,
14817-2100214817,,,16013005,,GITAMBAYA,Domestic,
14818-2100214818,,,16013006,,GITAMBAYA,Domestic,
14819-2100214819,,,16013007,,GITAMBAYA,Domestic,
14820-2100214820,,,16013358,,GITAMBAYA,Domestic,
14821-2100214821,,,16015240,,GITAMBAYA,Domestic,
14823-2100214823,,,H18JA016253,,GITAMBAYA,Commercial,
14824-2100214824,,,H17JA013246,,GITAMBAYA,Domestic,
14828-2100214828,,,16008558,,GITAMBAYA,Domestic,
14829-2100214829,,,H17JA013974,,GITAMBAYA,Commercial,
10971-2100210971,,,10973-0210020913,,GITAMBAYA,Schools,
06926-2100206926,,,10900-0210020673,,GITAMBAYA,Commercial,
11143-2100211143,,,20151100884,,GITAMBAYA,Commercial,
11211-2100211211,,,H17JA010789,,GITAMBAYA,Commercial,
10678-2100210678,,,20151101477,,GITAMBAYA,Domestic,
11615-2100211615,,,20151100779,,GITAMBAYA,Domestic,
11980-2100211980,,,18085476,,GITAMBAYA,Domestic,
13834-2100213834,,,20151100948,,GITAMBAYA,Domestic,
13837-2100213837,,,20151101982,,GITAMBAYA,Domestic,
13839-2100213839,,,17177757,,GITAMBAYA,Domestic,
29810-2100229810,,,19040530,,GITAMBAYA,Commercial,
14430-2100214430,,,20151101942,,GITAMBAYA,Domestic,
14431-2100214431,,,H17JA014539,,GITAMBAYA,Commercial,
14432-2100214432,,,20151101100,,GITAMBAYA,Domestic,
14433-2100214433,,,20151101658,,GITAMBAYA,Commercial,
14434-2100214434,,,20151101836,,GITAMBAYA,Domestic,
14435-2100214435,,,20151101020,,GITAMBAYA,Domestic,
14436-2100214436,,,H17JA014555,,GITAMBAYA,Domestic,
14437-2100214437,,,20151100327,,GITAMBAYA,Domestic,
14438-2100214438,,,20151100844,,GITAMBAYA,Domestic,
14440-2100214440,,,20151100687,,GITAMBAYA,Commercial,
14441-2100214441,,,20151101356,,GITAMBAYA,Domestic,
14442-2100214442,,,H17JA014536,,GITAMBAYA,Domestic,
14443-2100214443,,,20151101109,,GITAMBAYA,Commercial,
14444-2100214444,,,20151101904,,GITAMBAYA,Domestic,
14445-2100214445,,,20151101867,,GITAMBAYA,Domestic,
14446-2100214446,,,2015110078,,GITAMBAYA,Domestic,
07602-2100207602,,,2015,,GITAMBAYA,Schools,
14291-2100214291,,,H17JA014051,,GITAMBAYA,Commercial,
14292-2100214292,,,H17JA014099,,GITAMBAYA,Domestic,
14294-2100214294,,,20151100764,,GITAMBAYA,Commercial,
13572-2100213572,,,19039908,,GITAMBAYA,Domestic,
13586-2100213586,,,H17JA014667,,GITAMBAYA,Domestic,
13587-2100213587,,,H18JA007046,,GITAMBAYA,Domestic,
13578-2100213578,,,20150900223,,GITAMBAYA,Commercial,
13577-2100213577,,,20150900276,,GITAMBAYA,Domestic,
13574-2100213574,,,20150900302,,GITAMBAYA,Domestic,
13569-2100213569,,,H17JA014664,,GITAMBAYA,Domestic,
13571-2100213571,,,20150900690,,GITAMBAYA,Domestic,
13581-2100213581,,,H17JA014473,,GITAMBAYA,Domestic,
13826-2100213826,,,20150900458,,GITAMBAYA,Commercial,
13827-2100213827,,,20150900486,,GITAMBAYA,Domestic,
13828-2100213828,,,20150900576,,GITAMBAYA,Domestic,
13829-2100213829,,,20150900078,,GITAMBAYA,Domestic,
13822-2100213822,,,H18JA008988,,GITAMBAYA,Domestic,
13823-2100213823,,,20150900378,,GITAMBAYA,Domestic,
13825-2100213825,,,20150900222,,GITAMBAYA,Domestic,
13830-2100213830,,,H18JA008194,,GITAMBAYA,Commercial,
13831-2100213831,,,H17JA014477,,GITAMBAYA,Commercial,
13836-2100213836,,,20151100319,,GITAMBAYA,Commercial,
13838-2100213838,,,H18JA007328,,GITAMBAYA,Commercial,
13889-2100213889,,,H18JA008940,,GITAMBAYA,Domestic,
13129-2100213129,,,H18JA007947,,GITAMBAYA,Domestic,
13056-2100213056,,,20150900035,,GITAMBAYA,Commercial,
13072-2100213072,,,20150900159,,GITAMBAYA,Domestic,
12895-2100212895,,,20150600805,,GITAMBAYA,Domestic,
12699-2100212699,,,H17JA013890,,GITAMBAYA,Domestic,
12700-2100212700,,,20150600033,,GITAMBAYA,Domestic,
12702-2100212702,,,20150600204,,GITAMBAYA,Domestic,
12703-2100212703,,,20150600625,,GITAMBAYA,Domestic,
12704-2100212704,,,20150600514,,GITAMBAYA,Domestic,
12705-2100212705,,,20150600145,,GITAMBAYA,Commercial,
12706-2100212706,,,20150601079,,GITAMBAYA,Domestic,
12707-2100212707,,,20150601283,,GITAMBAYA,Domestic,
12708-2100212708,,,H17JA013466,,GITAMBAYA,Domestic,
12709-2100212709,,,20150600757,,GITAMBAYA,Domestic,
12710-2100212710,,,20150600847,,GITAMBAYA,Domestic,
12711-2100212711,,,20150600898,,GITAMBAYA,Domestic,
12714-2100212714,,,H17JA014535,,GITAMBAYA,Domestic,
12715-2100212715,,,H17JA014467,,GITAMBAYA,Commercial,
12717-2100212717,,,H17JA013318,,GITAMBAYA,Domestic,
12720-2100212720,,,20150600447,,GITAMBAYA,Commercial,
12721-2100212721,,,H17JA014593,,GITAMBAYA,Domestic,
12724-2100212724,,,20150600163,,GITAMBAYA,Domestic,
12725-2100212725,,,H17JA013224,,GITAMBAYA,Domestic,
12726-2100212726,,,19011277,,GITAMBAYA,Schools,
12727-2100212727,,,20150600055,,GITAMBAYA,Domestic,
12728-2100212728,,,,,GITAMBAYA,Domestic,
13435-2100213435,,,210020193,,GITAMBAYA,Commercial,
13436-2100213436,,,18053207,,GITAMBAYA,Domestic,
13439-2100213439,,,H17JA014091,,GITAMBAYA,Commercial,
13440-2100213440,,,20150900782,,GITAMBAYA,Domestic,
13441-2100213441,,,20150900917,,GITAMBAYA,Domestic,
13446-2100213446,,,20150900944,,GITAMBAYA,Domestic,
13449-2100213449,,,20150900945,,GITAMBAYA,Domestic,
13451-2100213451,,,18053941,,GITAMBAYA,Domestic,
13452-2100213452,,,20150900847,,GITAMBAYA,Commercial,
13454-2100213454,,,20150900805,,GITAMBAYA,Commercial,
15183-2100215183,,,LXH081063,,GITAMBAYA,Domestic,
15184-2100215184,,,H17JA014598,,GITAMBAYA,Domestic,
15187-2100215187,,,H17JA014413,,GITAMBAYA,Commercial,
15188-2100215188,,,H17JA014096,,GITAMBAYA,Commercial,
15189-2100215189,,,H17JA014538,,GITAMBAYA,Domestic,
15191-2100215191,,,H17JA014672,,GITAMBAYA,Commercial,
15193-2100215193,,,16003358,,GITAMBAYA,Commercial,
15194-2100215194,,,H17JA013882,,GITAMBAYA,Domestic,
15195-2100215195,,,20151100533,,GITAMBAYA,Domestic,
15218-2100215218,,,16003466,,GITAMBAYA,Domestic,
13199-2100213199,,,H17JA013232,,GITAMBAYA,Domestic,
13209-2100213209,,,20150900033,,GITAMBAYA,Domestic,
13210-2100213210,,,20150900023,,GITAMBAYA,Domestic,
13241-2100213241,,,20150900237,,GITAMBAYA,Domestic,
13247-2100213247,,,H17JA014478,,GITAMBAYA,Commercial,
13262-2100213262,,,20150900984,,GITAMBAYA,Commercial,
13263-2100213263,,,20150900370,,GITAMBAYA,Domestic,
13267-2100213267,,,20150900712,,GITAMBAYA,Domestic,
19602-2100219602,,,H17JA014084,,GITAMBAYA,Commercial,
19603-2100219603,,,17131605,,GITAMBAYA,Domestic,
25539-2100225539,,,18056882,,GITAMBAYA,Domestic,
25542-2100225542,,,18056884,,GITAMBAYA,Commercial,
19630-2100219630,,,H17JA013322,,GITAMBAYA,Commercial,
19824-2100119824,,,17095664,,GITAMBAYA,Domestic,
24849-2100224849,,,18055103,,GITAMBAYA,Commercial,
24847-2100224847,,,18055105,,GITAMBAYA,Domestic,
24774-2100224774,,,150109518,,GITAMBAYA,Commercial,
19478-2100219478,,,17095853,,GITAMBAYA,Commercial,
19675-2100219675,,,17134623,,GITAMBAYA,Domestic,
19677-2100219677,,,17134625,,GITAMBAYA,Domestic,
25872-2100225872,,,18057462,,GITAMBAYA,Domestic,
25874-2100225874,,,18055482,,GITAMBAYA,Domestic,
25801-2100225801,,,18054438,,GITAMBAYA,Commercial,
25800-2100225800,,,18054439,,GITAMBAYA,Domestic,
25061-2100225061,,,H18JA015586,,GITAMBAYA,Domestic,
25064-2100225064,,,H18JA015588,,GITAMBAYA,Domestic,
25058-2100225058,,,H18JA015682,,GITAMBAYA,Commercial,
25007-2100225007,,,H18JA016634,,GITAMBAYA,Domestic,
24887-2100224887,,,18056417,,GITAMBAYA,Domestic,
24915-2100224915,,,18086006,,GITAMBAYA,Domestic,
22937-2100222937,,,H18JA013779,,GITAMBAYA,Domestic,
24923-2100224923,,,150108718,,GITAMBAYA,Domestic,
21104-2100221104,,,H17JA014665,,GITAMBAYA,Domestic,
21102-2100221102,,,H18JA008195,,GITAMBAYA,Commercial,
20144-2100220144,,,17135799,,GITAMBAYA,Domestic,
