New Acc No,Old Acc No,Zone,Subzone,Longitude,Latitude
19484,2100219484,002 GITAMBAYA,GITAMBAYA,271751.8356,9872122.205
7999,2100207999,002 GITAMBAYA,GITAMBAYA,271723.5143,9872158.739
250,2100200250,002 GITAMBAYA,GITAMBAYA,271776.0897,9872245.157
9351,2100209351,002 GITAMBAYA,GITAMBAYA,271781.3696,9872256.276
911,2100200911,002 GITAMBAYA,GITAMBAYA,271543.9525,9872358.153
6252,2100206252,002 GITAMBAYA,GITAMBAYA,271561.0517,9872394.388
13576,2100213576,002 GITAMBAYA,GITAMBAYA,271606.197,9872492.782
1078,2100201078,002 GITAMBAYA,GITAMBAYA,271624.7296,9872522.714
1079,2100201079,002 GITAMBAYA,GITAMBAYA,271647.3006,9872509.808
1065,2100201065,002 GITAMBAYA,GITAMBAYA,271672.1085,9872508.333
13262,2100213262,002 GITAMBAYA,GITAMBAYA,271672.9314,9872499.116
785,2100200785,002 GITAMBAYA,GITAMBAYA,271769.8783,9872367.939
17716,2100217716,002 GITAMBAYA,GITAMBAYA,271729.7269,9872342.748
7214,2100207214,002 GITAMBAYA,GITAMBAYA,271694.4527,9872346.833
11072,2100211072,002 GITAMBAYA,GITAMBAYA,271806.4129,9872031.607
10576,2100210576,002 GITAMBAYA,GITAMBAYA,271783.1546,9872019.977
10581,2100210581,002 GITAMBAYA,GITAMBAYA,271799.6572,9872008.726
10583,2100210583,002 GITAMBAYA,GITAMBAYA,271835.1106,9871987.663
9355,2100209355,002 GITAMBAYA,GITAMBAYA,271861.1829,9872033.711
6765,2100206765,002 GITAMBAYA,GITAMBAYA,271842.1762,9872043.965
13572,2100213572,002 GITAMBAYA,GITAMBAYA,271895.267,9872007.431
10246,2100210246,002 GITAMBAYA,GITAMBAYA,271935.6873,9871942.887
11321,2100211321,002 GITAMBAYA,GITAMBAYA,271930.3768,9871948.45
275,2100200275,002 GITAMBAYA,GITAMBAYA,271877.2344,9871953.555
7791,2100207791,002 GITAMBAYA,GITAMBAYA,271991.3309,9871904.856
7225,2100207225,002 GITAMBAYA,GITAMBAYA,272041.4909,9871905.23
13440,2100213440,002 GITAMBAYA,GITAMBAYA,272059.7625,9871859.583
7997,2100207997,002 GITAMBAYA,GITAMBAYA,272181.1606,9871809.107
7401,2100207401,002 GITAMBAYA,GITAMBAYA,272203.9443,9871784.331
8014,2100208014,002 GITAMBAYA,GITAMBAYA,272201.105,9871759.48
9418,2100209418,002 GITAMBAYA,GITAMBAYA,272135.7737,9871660.61
16265,2100216265,002 GITAMBAYA,GITAMBAYA,272123.137,9871662.721
902,2100200902,002 GITAMBAYA,GITAMBAYA,272094.4126,9871694.283
904,2100200904,002 GITAMBAYA,GITAMBAYA,272089.716,9871695.435
1094,2100201094,002 GITAMBAYA,GITAMBAYA,272076.4082,9871701.84
899,2100200899,002 GITAMBAYA,GITAMBAYA,272058.667,9871706.823
6503,2100206503,002 GITAMBAYA,GITAMBAYA,272119.199,9871694.516
907,2100200907,002 GITAMBAYA,GITAMBAYA,272053.5761,9871716.644
